target_url,source_list_mil_2
army.mil,TRUE
tricare.mil,TRUE
nga.mil,TRUE
move.mil,TRUE
health.mil,TRUE
disa.mil,TRUE
darpa.mil,TRUE
osd.mil,TRUE
cto.mil,TRUE
militaryonesource.mil,TRUE
dtic.mil,TRUE
mda.mil,TRUE
acq.osd.mil,TRUE
allhands.navy.mil,TRUE
applocker.navy.mil,TRUE
apps.dtic.mil,TRUE
bamc.tricare.mil,TRUE
belvoirhospital.tricare.mil,TRUE
blanchfield.tricare.mil,TRUE
cape.osd.mil,TRUE
comptroller.defense.gov,TRUE
cool.osd.mil,TRUE
darnall.tricare.mil,TRUE
dcpas.osd.mil,TRUE
discover.dtic.mil,TRUE
dod.defense.gov,TRUE
dodcio.defense.gov,TRUE
dpcld.defense.gov,TRUE
evans.tricare.mil,TRUE
gomo.army.mil,TRUE
history.navy.mil,TRUE
jacksonville.tricare.mil,TRUE
madigan.tricare.mil,TRUE
medcoe.army.mil,TRUE
metoc.navy.mil,TRUE
militarypay.defense.gov,TRUE
my.navy.mil,TRUE
navycollege.navy.mil,TRUE
newsroom.tricare.mil,TRUE
phc.amedd.army.mil,TRUE
portsmouth.tricare.mil,TRUE
prhome.defense.gov,TRUE
public.cyber.mil,TRUE
recruiting.army.mil,TRUE
sandiego.tricare.mil,TRUE
securityawareness.usalearning.gov,TRUE
securityhub.usalearning.gov,TRUE
tripler.tricare.mil,TRUE
ut.ng.mil,TRUE
va.ng.mil,TRUE
valor.defense.gov,TRUE
walterreed.tricare.mil,TRUE
william-beaumont.tricare.mil,TRUE
womack.tricare.mil,TRUE
8af.af.mil ,TRUE
9af.acc.af.mil,TRUE
15af.acc.af.mil,TRUE
16af.af.mil ,TRUE
33fw.af.mil ,TRUE
53rdwing.af.mil ,TRUE
108thwing.ang.af.mil ,TRUE
110wg.ang.af.mil,TRUE
126arw.ang.af.mil ,TRUE
138fw.ang.af.mil ,TRUE
168wg.ang.af.mil ,TRUE
175wg.ang.af.mil ,TRUE
187fw.ang.af.mil ,TRUE
194wg.ang.af.mil ,TRUE
340ftg.afrc.af.mil ,TRUE
353sow.af.mil,TRUE
4af.afrc.af.mil ,TRUE
413ftg.afrc.af.mil ,TRUE
492sow.af.mil ,TRUE
557weatherwing.af.mil ,TRUE
learningprofessionals.af.mil ,TRUE
aflcmc.af.mil ,TRUE
afmaa.af.mil ,TRUE
netcents.af.mil ,TRUE
resilience.af.mil ,TRUE
safety.af.mil ,TRUE
airforcesmallbiz.af.mil ,TRUE
afsbirsttr.af.mil ,TRUE
afsig.af.mil ,TRUE
aft3.af.mil ,TRUE
aftc.af.mil ,TRUE
afwic.af.mil ,TRUE
airuniversity.af.mil ,TRUE
arnold.af.mil ,TRUE
gulfportcrtc.ang.af.mil ,TRUE
safcn.af.mil ,TRUE
afinspectorgeneral.af.mil ,TRUE
specialwarfaretw.af.mil ,TRUE
doctrine.af.mil ,TRUE
veterans-in-blue.af.mil ,TRUE
spaceforce.mil ,TRUE
spoc.spaceforce.mil ,TRUE
41fab.army.mil ,TRUE
awg.army.mil ,TRUE
2cr.army.mil ,TRUE
2sigbde.army.mil ,TRUE
7atc.army.mil ,TRUE
10thaamdc.army.mil ,TRUE
12cab.army.mil ,TRUE
19bcd.army.mil ,TRUE
21tsc.army.mil ,TRUE
afsbeurope.army.mil ,TRUE
409csb.army.mil ,TRUE
band.eur.army.mil ,TRUE
1tsc.army.mil ,TRUE
afod.eur.army.mil ,TRUE
aepubs.eur.army.mil ,TRUE
arcyber.army.mil ,TRUE
asafm.army.mil ,TRUE
amc.army.mil ,TRUE
amlc.army.mil ,TRUE
nrmc.amedd.army.mil ,TRUE
recruiting.army.mil ,TRUE
aschq.army.mil ,TRUE
armyupress.army.mil ,TRUE
cyberdefensereview.army.mil ,TRUE
jpeocbrnd.osd.mil       ,TRUE
peosoldier.army.mil ,TRUE
phcp.health.mil ,TRUE
rma.army.mil ,TRUE
tobyhanna.army.mil ,TRUE
amcom.army.mil ,TRUE
usarcent.army.mil ,TRUE
usafmcom.army.mil ,TRUE
smdc.army.mil ,TRUE
mepcom.army.mil ,TRUE
usanato.army.mil ,TRUE
vcorps.army.mil,TRUE
agc.army.mil ,TRUE
rmc.usace.army.mil ,TRUE
uscg.mil ,TRUE
atlanticarea.uscg.mil ,TRUE
dco.uscg.mil ,TRUE
forcecom.uscg.mil ,TRUE
history.uscg.mil ,TRUE
pacificarea.uscg.mil ,TRUE
reserve.uscg.mil ,TRUE
afneurope.net,TRUE
afnpacific.net,TRUE
afd.defense.gov ,TRUE
basicresearch.defense.gov ,TRUE
capstone.ndu.edu,TRUE
casl.ndu.edu,TRUE
cco.ndu.edu,TRUE
cdse.edu,TRUE
cjsl.ndu.edu,TRUE
wmdcenter.ndu.edu ,TRUE
cic.ndu.edu,TRUE
cisa.ndu.edu,TRUE
oig.dia.mil ,TRUE
dcaa.mil ,TRUE
dcsa.mil ,TRUE
dhra.mil ,TRUE
dimoc.mil ,TRUE
pavilion.dinfos.edu,TRUE
innovation.defense.gov ,TRUE
dss.mil ,TRUE
defenseculture.mil ,TRUE
dfas.mil ,TRUE
dc3.mil ,TRUE
dodig.mil ,TRUE
cac.mil ,TRUE
dodnafaccounting.defense.gov ,TRUE
cloud.mil ,TRUE
hacc.mil,TRUE
dodcertpmo.defense.gov ,TRUE
inss.ndu.edu,TRUE
ismo.ndu.edu,TRUE
jfsc.ndu.edu,TRUE
keystone.ndu.edu,TRUE
metc.mil ,TRUE
ndu.edu,TRUE
ndupress.ndu.edu,TRUE
nro.gov ,TRUE
nsa.gov ,TRUE
oig.nsa.gov ,TRUE
nwc.ndu.edu,TRUE
dodcui.mil ,TRUE
ousdi.defense.gov ,TRUE
pfpa.mil ,TRUE
pinnacle.ndu.edu,TRUE
web.dma.mil,TRUE
rcnsc.ndu.edu,TRUE
es.ndu.edu,TRUE
dote.osd.mil ,TRUE
minerva.defense.gov ,TRUE
pac.whs.mil,TRUE
whs.mil ,TRUE
airforceacademy.tricare.mil ,TRUE
eglin.tricare.mil ,TRUE
hill.tricare.mil ,TRUE
guthrie.tricare.mil,TRUE
corpuschristi.tricare.mil ,TRUE
lemoore.tricare.mil ,TRUE
alsa.mil ,TRUE
inherentresolve.mil ,TRUE
jcu.mil ,TRUE
jtfcs.northcom.mil ,TRUE
jtfgtmo.southcom.mil ,TRUE
jtfn.northcom.mil ,TRUE
jwac.mil ,TRUE
southcom.mil ,TRUE
stratcom.mil ,TRUE
mcrc.marines.mil1stmcd,TRUE
mcrc.marines.mil4thmcd,TRUE
mcrc.marines.mil8thmcd,TRUE
hqmc.marines.milar,TRUE
hqmc.marines.milacmc,TRUE
hqmc.marines.milcmc,TRUE
hqmc.marines.milousmcc,TRUE
hqmc.marines.mildmcs,TRUE
hqmc.marines.mile2o,TRUE
hqmc.marines.milhrom,TRUE
hqmc.marines.miligmc,TRUE
hqmc.marines.milintelligence,TRUE
quantico.marines.milmcaf,TRUE
hqmc.marines.mildso,TRUE
mcesg.marines.mil,TRUE
hqmc.marines.milhmx-1,TRUE
29palms.marines.milmcmwtc,TRUE
mcscg.marines.mil,TRUE
marforres.marines.milmcsf-nola,TRUE
marcorsyscom.marines.milmctssa,TRUE
hqmc.marines.milppo,TRUE
hqmc.marines.milpandr,TRUE
hqmc.marines.milsmmc,TRUE
hqmc.marines.milsja,TRUE
fitness.marines.mil ,TRUE
marforcyber.marines.mil ,TRUE
usmcu.edu ,TRUE
allhands.navy.mil ,TRUE
cprw1.navy.mil ,TRUE
clwp.navy.mil ,TRUE
ccsg15.navy.mil ,TRUE
csp.navy.mil ,TRUE
c2f.usff.navy.mil ,TRUE
c3f.navy.mil ,TRUE
c7f.navy.mil ,TRUE
necc.usff.navy.mil ,TRUE
ewtgpac.navy.mil ,TRUE
c6f.navy.mil ,TRUE
nmio.ise.gov ,TRUE
ncis.navy.mil ,TRUE
navalsafetycommand.navy.mil,TRUE
nsw.navy.mil ,TRUE
outreach.navy.mil ,TRUE
navsea.navy.mil,TRUE
oni.navy.mil ,TRUE
ttgp.navy.mil ,TRUE
nepa.navy.mil ,TRUE
usncc.edu,TRUE
cusnc.navy.mil ,TRUE
srf.navy.mil ,TRUE
al.ng.mil,TRUE
arkansas.nationalguard.mil ,TRUE
army.nationalguard.mil ,TRUE
atterburymuscatatuck.in.ng.mil ,TRUE
co.ng.mil ,TRUE
dc.ng.mil ,TRUE
de.ng.mil ,TRUE
ftig.ng.mil ,TRUE
il.ngb.army.mil ,TRUE
in.ng.mil ,TRUE
me.ngb.army.mil  ,TRUE
moguard.ngb.mil,TRUE
pa.ng.mil ,TRUE
ri.ng.mil ,TRUE
scguard.ng.mil ,TRUE
ut.ng.mil ,TRUE
ngfamily.vt.gov ,TRUE