target_url,branch,agency,bureau,
af.mil,Executive,Department of Defense,Air Force,TRUE
airdomainintelligence.mil,Executive,Department of Defense,Air Force,TRUE
alsa.mil,Executive,Department of Defense,,TRUE
army.mil,Executive,Department of Defense,Army,TRUE
armyreservewarriorcitizen.mil,Executive,Department of Defense,Army,TRUE
cac.mil,Executive,Department of Defense,,TRUE
ccpo.mil,Executive,Department of Defense,,TRUE
centcom.mil,Executive,Department of Defense,,TRUE
cloud.mil,Executive,Department of Defense,,TRUE
cto.mil,Executive,Department of Defense,,TRUE
cyber.mil,Executive,Department of Defense,,TRUE
cybercom.mil,Executive,Department of Defense,,TRUE
darpa.mil,Executive,Department of Defense,,TRUE
dc3.mil,Executive,Department of Defense,,TRUE
dcaa.mil,Executive,Department of Defense,,TRUE
dcma.mil,Executive,Department of Defense,,TRUE
dcsa.mil,Executive,Department of Defense,,TRUE
defenseculture.mil,Executive,Department of Defense,,TRUE
defensesbirsttr.mil,Executive,Department of Defense,,TRUE
dfas.mil,Executive,Department of Defense,,TRUE
dhra.mil,Executive,Department of Defense,,TRUE
dia.mil,Executive,Department of Defense,,TRUE
dimoc.mil,Executive,Department of Defense,,TRUE
disa.mil,Executive,Department of Defense,,TRUE
dla.mil,Executive,Department of Defense,,TRUE
dma.mil,Executive,Department of Defense,,TRUE
dod.mil,Executive,Department of Defense,,TRUE
dodcui.mil,Executive,Department of Defense,,TRUE
dodig.mil,Executive,Department of Defense,,TRUE
dodlive.mil,Executive,Department of Defense,,TRUE
dodmantech.mil,Executive,Department of Defense,,TRUE
dpaa.mil,Executive,Department of Defense,,TRUE
dspo.mil,Executive,Department of Defense,,TRUE
dss.mil,Executive,Department of Defense,,TRUE
dtic.mil,Executive,Department of Defense,,TRUE
dtra.mil,Executive,Department of Defense,,TRUE
hacc.mil,Executive,Department of Defense,,TRUE
health.mil,Executive,Department of Defense,,TRUE
inherentresolve.mil,Executive,Department of Defense,,TRUE
jb.mil,Executive,Department of Defense,,TRUE
jbsa.mil,Executive,Department of Defense,Air Force,TRUE
jcs.mil,Executive,Department of Defense,,TRUE
jcu.mil,Executive,Department of Defense,,TRUE
jecc.mil,Executive,Department of Defense,,TRUE
jpra.mil,Executive,Department of Defense,,TRUE
jtf-spacedefense.mil,Executive,Department of Defense,,TRUE
jtnc.mil,Executive,Department of Defense,,TRUE
jwac.mil,Executive,Department of Defense,,TRUE
marines.mil,Executive,Department of Defense,Marine Corps,TRUE
mda.mil,Executive,Department of Defense,,TRUE
metc.mil,Executive,Department of Defense,,TRUE
militaryonesource.mil,Executive,Department of Defense,,TRUE
move.mil,Executive,Department of Defense,,TRUE
nationalguard.mil,Executive,Department of Defense,National Guard,TRUE
navy.mil,Executive,Department of Defense,Navy,TRUE
ng.mil,Executive,Department of Defense,National Guard,TRUE
nga.mil,Executive,Department of Defense,,TRUE
ngb.mil,Executive,Department of Defense,National Guard,TRUE
norad.mil,Executive,Department of Defense,,TRUE
northcom.mil,Executive,Department of Defense,,TRUE
osd.mil,Executive,Department of Defense,Army,TRUE
pacom.mil,Executive,Department of Defense,,TRUE
pfpa.mil,Executive,Department of Defense,,TRUE
prs.mil,Executive,Department of Defense,,TRUE
repi.mil,Executive,Department of Defense,,TRUE
southcom.mil,Executive,Department of Defense,,TRUE
spacecom.mil,Executive,Department of Defense,,TRUE
spaceforce.mil,Executive,Department of Defense,Space Force,TRUE
stratcom.mil,Executive,Department of Defense,,TRUE
swcs.mil,Executive,Department of Defense,Army,TRUE
tricare.mil,Executive,Department of Defense,,TRUE
unc.mil,Executive,Department of Defense,,TRUE
uscg.mil,Executive,Department of Defense,Coast Guard,TRUE
usfj.mil,Executive,Department of Defense,,TRUE
usfk.mil,Executive,Department of Defense,,TRUE
whitehousecommsagency.mil,Executive,Department of Defense,,TRUE
whs.mil,Executive,Department of Defense,,TRUE