target_url,Office,source_list_omb_idea
apps.bea.gov,,TRUE
bea.gov,,TRUE
acmt.bis.doc.gov,,TRUE
bis.gov,,TRUE
cars.bis.gov,,TRUE
cwc.gov,,TRUE
cwcweb.cwc.gov,,TRUE
efoia.bis.doc.gov,,TRUE
slid.bis.doc.gov,,TRUE
snapr.bis.gov,,TRUE
tac.bis.doc.gov,,TRUE
access.census.gov,,TRUE
api.census.gov,,TRUE
ask.census.gov,,TRUE
bds.explorer.ces.census.gov,,TRUE
bhs.econ.census.gov,,TRUE
cbb.census.gov,,TRUE
census.gov,,TRUE
coil.census.gov,,TRUE
data.census.gov,,TRUE
geocoding.geo.census.gov,,TRUE
j2jexplorer.ces.census.gov,,TRUE
ledextract.ces.census.gov,,TRUE
lehd.ces.census.gov,,TRUE
mtgis-portal.geo.census.gov,,TRUE
opportunity.census.gov,,TRUE
portal.census.gov,,TRUE
qwiexplorer.ces.census.gov,,TRUE
respond.census.gov,,TRUE
spd15revision.gov,,TRUE
tigerweb.geo.census.gov,,TRUE
usatrade.census.gov,,TRUE
www2.census.gov,,TRUE
xd.gov,,TRUE
eda.gov,,TRUE
sfgrants.eda.gov,,TRUE
2014-2018.firstnet.gov,,TRUE
5x5.firstnet.gov,,TRUE
firstnet.gov,,TRUE
access.trade.gov,,TRUE
beta.trade.gov,,TRUE
dataprivacyframework.gov,,TRUE
developer.trade.gov,,TRUE
enforcement.trade.gov,,TRUE
esel.trade.gov,,TRUE
legacy.export.gov,,TRUE
legacy.trade.gov,,TRUE
ofis.trade.gov,,TRUE
stopfakes.gov,,TRUE
trade.gov,,TRUE
wwtg.gov,,TRUE
mbda.gov,,TRUE
abacus.nist.gov,,TRUE
actev.nist.gov,,TRUE
acvts.nist.gov,,TRUE
adsorption.nist.gov,,TRUE
ai-challenges.nist.gov,,TRUE
airc.nist.gov,,TRUE
ambench.nist.gov,,TRUE
ambench2022.nist.gov,,TRUE
ammd.nist.gov,,TRUE
aphl.nist.gov,,TRUE
askchips.chips.gov,,TRUE
baldrigeresources.nist.gov,,TRUE
bbddata.nist.gov,,TRUE
boudicca.nist.gov,,TRUE
boulder.doc.gov,,TRUE
calnet.nist.gov,,TRUE
cccbdb.nist.gov,,TRUE
cda-validation.nist.gov,,TRUE
cdcs.registry.nist.gov,,TRUE
cfreds.nist.gov,,TRUE
cfreds-archive.nist.gov,,TRUE
chemdata.nist.gov,,TRUE
circular.nist.gov,,TRUE
code.nist.gov,,TRUE
concrete.nist.gov,,TRUE
consensus.nist.gov,,TRUE
covid19-data.nist.gov,,TRUE
csrc.nist.gov,,TRUE
cstl.nist.gov,,TRUE
data.nist.gov,,TRUE
decisiontree.nist.gov,,TRUE
dlmf.nist.gov,,TRUE
duc.nist.gov,,TRUE
e3.nist.gov,,TRUE
ecc.nist.gov,,TRUE
edges.nist.gov,,TRUE
emtoolbox.nist.gov,,TRUE
events.nist.gov,,TRUE
firedoc.nist.gov,,TRUE
fits.nist.gov,,TRUE
gams.nist.gov,,TRUE
gashydrates.nist.gov,,TRUE
ghgr.nist.gov,,TRUE
hit-dev.nist.gov,,TRUE
hit-nexus.nist.gov,,TRUE
hl7v2-elr-testing.nist.gov,,TRUE
hl7v2-gvt.nist.gov,,TRUE
hl7v2-igamt.nist.gov,,TRUE
hl7v2-igamt-2.nist.gov,,TRUE
hl7v2-iz-cdc-testing.nist.gov,,TRUE
hl7v2-iz-r1-5-testing.nist.gov,,TRUE
hl7v2-lab-r2-testing.nist.gov,,TRUE
hl7v2-lab-testing.nist.gov,,TRUE
hl7v2-ss-r2-testing.nist.gov,,TRUE
hl7v2tools.nist.gov,,TRUE
ibal.nist.gov,,TRUE
icsd.nist.gov,,TRUE
ihe-pcd.nist.gov,,TRUE
ihexds.nist.gov,,TRUE
ilthermo.boulder.nist.gov,,TRUE
ir.nist.gov,,TRUE
isg.nist.gov,,TRUE
its90.nist.gov,,TRUE
janaf.nist.gov,,TRUE
jarvis.nist.gov,,TRUE
kinetics.nist.gov,,TRUE
lre.nist.gov,,TRUE
maldi.nist.gov,,TRUE
manufacturing.gov,,TRUE
materials.registry.nist.gov,,TRUE
math.nist.gov,,TRUE
mdcs.nist.gov,,TRUE
meis.nist.gov,,TRUE
mfc.nist.gov,,TRUE
mgi.gov,,TRUE
nccoe.nist.gov,,TRUE
ncp.nist.gov,,TRUE
nehrp.gov,,TRUE
nehrpsearch.nist.gov,,TRUE
nemo.nist.gov,,TRUE
nestr.nist.gov,,TRUE
nextg.nist.gov,,TRUE
nigos.nist.gov,,TRUE
nist.gov,,TRUE
nlte.nist.gov,,TRUE
nvd.nist.gov,,TRUE
nvlpubs.nist.gov,,TRUE
openfad.nist.gov,,TRUE
p-act.nist.gov,,TRUE
pages.nist.gov,,TRUE
pah.nist.gov,,TRUE
phasedata.nist.gov,,TRUE
potentials.nist.gov,,TRUE
pv2.nist.gov,,TRUE
pvdata.nist.gov,,TRUE
randr.nist.gov,,TRUE
randr19.nist.gov,,TRUE
rdaf.nist.gov,,TRUE
reductus.nist.gov,,TRUE
rpki-monitor.antd.nist.gov,,TRUE
rtmms.nist.gov,,TRUE
sat.nist.gov,,TRUE
shop.nist.gov,,TRUE
sibr.nist.gov,,TRUE
sitexpress.nist.gov,,TRUE
smstestbed.nist.gov,,TRUE
srdata.nist.gov,,TRUE
sre.nist.gov,,TRUE
strbase.nist.gov,,TRUE
survey.nist.gov,,TRUE
tac.nist.gov,,TRUE
tcamt.nist.gov,,TRUE
time.gov,,TRUE
toolcatalog.nist.gov,,TRUE
trc.nist.gov,,TRUE
trec.nist.gov,,TRUE
trecvid.nist.gov,,TRUE
tsapps.nist.gov,,TRUE
uncertainty.nist.gov,,TRUE
usgv6-deploymon.nist.gov,,TRUE
visiblecement.nist.gov,,TRUE
vmsshare.nist.gov,,TRUE
vocab.nist.gov,,TRUE
webbook.nist.gov,,TRUE
wipp-plugins.nist.gov,,TRUE
ws680.nist.gov,,TRUE
wtt-lite.nist.gov,,TRUE
wtt-pro.nist.gov,,TRUE
www-nlpir.nist.gov,,TRUE
zeno.nist.gov,,TRUE
adios.orr.noaa.gov,,TRUE
adp.noaa.gov,,TRUE
airquality.weather.gov,,TRUE
alaskafisheries.noaa.gov,,TRUE
alerts.weather.gov,,TRUE
alerts-v2.weather.gov,,TRUE
alpha.ngs.noaa.gov,,TRUE
amdar.ncep.noaa.gov,,TRUE
amdar.noaa.gov,,TRUE
americansamoa.noaa.gov,,TRUE
aocground.omao.noaa.gov,,TRUE
aoml.noaa.gov,,TRUE
app.coastalscience.noaa.gov,,TRUE
apps.arl.noaa.gov,,TRUE
apps.nmfs.noaa.gov,,TRUE
apps.nssl.noaa.gov,,TRUE
apps-afsc.fisheries.noaa.gov,,TRUE
apps-garfo.fisheries.noaa.gov,,TRUE
apps-pifsc.fisheries.noaa.gov,,TRUE
apps-sefsc.fisheries.noaa.gov,,TRUE
archive.fisheries.noaa.gov,,TRUE
archive.oceanexplorer.noaa.gov,,TRUE
arctic.noaa.gov,,TRUE
arl.noaa.gov,,TRUE
atlhmscatchshares.fisheries.noaa.gov,,TRUE
aviationweather.gov,,TRUE
beaconregistration.noaa.gov,,TRUE
beta.ngs.noaa.gov,,TRUE
beta.weather.gov,,TRUE
bigsouthfork.atdd.noaa.gov,,TRUE
blog.marinedebris.noaa.gov,,TRUE
blog.response.restoration.noaa.gov,,TRUE
boulder.noaa.gov,,TRUE
buoybay.noaa.gov,,TRUE
bycatchreporting.fisheries.noaa.gov,,TRUE
cafe.orr.noaa.gov,,TRUE
california-mdc.diver.orr.noaa.gov,,TRUE
cameo.noaa.gov,,TRUE
cameochemicals.noaa.gov,,TRUE
campcreek.atdd.noaa.gov,,TRUE
cams.nssl.noaa.gov,,TRUE
carbontracker.noaa.gov,,TRUE
carto.bldc.nwave.noaa.gov,,TRUE
carto.ctc.nwave.noaa.gov,,TRUE
carto.nwave.noaa.gov,,TRUE
cbexapp.noaa.gov,,TRUE
cbrfc.noaa.gov,,TRUE
cbwofs.nssl.noaa.gov,,TRUE
cdhc.noaa.gov,,TRUE
celebrating200years.noaa.gov,,TRUE
certificate.seafoodinspection.nmfs.noaa.gov,,TRUE
cfs.ncep.noaa.gov,,TRUE
channelislands.noaa.gov,,TRUE
charts.noaa.gov,,TRUE
ci.noaa.gov,,TRUE
class.noaa.gov,,TRUE
clearinghouse.marinedebris.noaa.gov,,TRUE
climate.gov,,TRUE
cmist.noaa.gov,,TRUE
coast.noaa.gov,,TRUE
coastaloceanmodels.noaa.gov,,TRUE
coastalscience.noaa.gov,,TRUE
coastwatch.glerl.noaa.gov,,TRUE
coastwatch.noaa.gov,,TRUE
coastwatch.pfeg.noaa.gov,,TRUE
codes.nws.noaa.gov,,TRUE
coralreef.noaa.gov,,TRUE
coralreefwatch.noaa.gov,,TRUE
cordellbank.noaa.gov,,TRUE
coris.noaa.gov,,TRUE
councils.fisheries.noaa.gov,,TRUE
cpc.ncep.noaa.gov,,TRUE
cpo.noaa.gov,,TRUE
csl.noaa.gov,,TRUE
cwcaribbean.aoml.noaa.gov,,TRUE
cwcgom.aoml.noaa.gov,,TRUE
darrp.noaa.gov,,TRUE
data.noaa.gov,,TRUE
data.nssl.noaa.gov,,TRUE
data.pmel.noaa.gov,,TRUE
data1.gfdl.noaa.gov,,TRUE
dcs1.noaa.gov,,TRUE
dcs2.noaa.gov,,TRUE
dcs3.noaa.gov,,TRUE
dcs4.noaa.gov,,TRUE
deepseacoraldata.noaa.gov,,TRUE
dengueforecasting.noaa.gov,,TRUE
digital.weather.gov,,TRUE
discover.library.noaa.gov,,TRUE
distribution.charts.noaa.gov,,TRUE
diver.orr.noaa.gov,,TRUE
dods.ndbc.noaa.gov,,TRUE
drought.gov,,TRUE
dsfa.nmfs.noaa.gov,,TRUE
eastcoast.coastwatch.noaa.gov,,TRUE
ecofoci.noaa.gov,,TRUE
ecowatch.noaa.gov,,TRUE
eeo.oar.noaa.gov,,TRUE
emc.ncep.noaa.gov,,TRUE
encdirect.noaa.gov,,TRUE
erma.noaa.gov,,TRUE
esrl.noaa.gov,,TRUE
exemptedhmspermits.fisheries.noaa.gov,,TRUE
extranet.gfdl.noaa.gov,,TRUE
farallones.noaa.gov,,TRUE
ferret.pmel.noaa.gov,,TRUE
fieldterminal.nesdis.noaa.gov,,TRUE
fim.noaa.gov,,TRUE
fisheries.noaa.gov,,TRUE
fisheriespermits.noaa.gov,,TRUE
floats.pmel.noaa.gov,,TRUE
floridakeys.noaa.gov,,TRUE
flowergarden.noaa.gov,,TRUE
foss.nmfs.noaa.gov,,TRUE
fosterscholars.noaa.gov,,TRUE
geodesy.noaa.gov,,TRUE
geonetcastamericas.noaa.gov,,TRUE
gfdl.noaa.gov,,TRUE
gis.charttools.noaa.gov,,TRUE
gisc-washington.ncep.noaa.gov,,TRUE
glerl.noaa.gov,,TRUE
globalocean.noaa.gov,,TRUE
gml.noaa.gov,,TRUE
gnome.orr.noaa.gov,,TRUE
goes.noaa.gov,,TRUE
goes-r.gov,,TRUE
goes-r.noaa.gov,,TRUE
graphical.mdl.nws.noaa.gov,,TRUE
graphical.weather.gov,,TRUE
graphing.cbex.noaa.gov,,TRUE
graysreef.noaa.gov,,TRUE
greatlakes-mdc.diver.orr.noaa.gov,,TRUE
gsl.noaa.gov,,TRUE
gulfatlas.noaa.gov,,TRUE
gulfspillrestoration.noaa.gov,,TRUE
habitatblueprint.noaa.gov,,TRUE
habsos.noaa.gov,,TRUE
hads.ncep.noaa.gov,,TRUE
hawaiihumpbackwhale.noaa.gov,,TRUE
hdsc.nws.noaa.gov,,TRUE
heat.gov,,TRUE
hfradar.ndbc.noaa.gov,,TRUE
historicalcharts.noaa.gov,,TRUE
hmspermits.noaa.gov,,TRUE
hmsworkshop.fisheries.noaa.gov,,TRUE
hmt.noaa.gov,,TRUE
hwt.nssl.noaa.gov,,TRUE
icams-portal.gov,,TRUE
icoads.noaa.gov,,TRUE
imagesite.noaa.gov,,TRUE
incidentnews.noaa.gov,,TRUE
inport.nmfs.noaa.gov,,TRUE
inside.nssl.noaa.gov,,TRUE
integratedecosystemassessment.noaa.gov,,TRUE
inws.ncep.noaa.gov,,TRUE
iocm.noaa.gov,,TRUE
ioos.noaa.gov,,TRUE
joinnoaacorps.omao.noaa.gov,,TRUE
library.bldrdoc.gov,,TRUE
library.noaa.gov,,TRUE
login.diver.orr.noaa.gov,,TRUE
m.cameochemicals.noaa.gov,,TRUE
madis.ncep.noaa.gov,,TRUE
mag.ncep.noaa.gov,,TRUE
mageval.ncep.noaa.gov,,TRUE
manati.star.nesdis.noaa.gov,,TRUE
maps.coast.noaa.gov,,TRUE
maps.coastalscience.noaa.gov,,TRUE
maps.water.noaa.gov,,TRUE
marinecadastre.gov,,TRUE
marinedebris.noaa.gov,,TRUE
marinenavigation.noaa.gov,,TRUE
marineprotectedareas.noaa.gov,,TRUE
marinerhiring.noaa.gov,,TRUE
maritimeboundaries.noaa.gov,,TRUE
mdmap.orr.noaa.gov,,TRUE
mmhsrp.nmfs.noaa.gov,,TRUE
mobile.tidesandcurrents.noaa.gov,,TRUE
monitor.noaa.gov,,TRUE
montereybay.noaa.gov,,TRUE
mping.nssl.noaa.gov,,TRUE
mrms.nssl.noaa.gov,,TRUE
nacc.arl.noaa.gov,,TRUE
nauticalcharts.noaa.gov,,TRUE
ncc.nesdis.noaa.gov,,TRUE
ncei.noaa.gov,,TRUE
nco.ncep.noaa.gov,,TRUE
ncrmp.coralreef.noaa.gov,,TRUE
nctr.pmel.noaa.gov,,TRUE
ndbc.noaa.gov,,TRUE
ndl.noaa.gov,,TRUE
nesdis.noaa.gov,,TRUE
ngs.noaa.gov,,TRUE
nhc.noaa.gov,,TRUE
niwc.noaa.inl.gov,,TRUE
noaa.gov,,TRUE
noaa.inl.gov,,TRUE
noaasis.noaa.gov,,TRUE
nohrsc.noaa.gov,,TRUE
nomads.gfdl.noaa.gov,,TRUE
nomads.ncep.noaa.gov,,TRUE
nominate.noaa.gov,,TRUE
nowcoast.noaa.gov,,TRUE
npad.noaa.gov,,TRUE
nsd.rdc.noaa.gov,,TRUE
nsde.ngs.noaa.gov,,TRUE
nssl.noaa.gov,,TRUE
ntwc.arh.noaa.gov,,TRUE
ntwc.ncep.noaa.gov,,TRUE
nweb.ngs.noaa.gov,,TRUE
nwrfc.noaa.gov,,TRUE
nws.weather.gov,,TRUE
ocean.weather.gov,,TRUE
oceanacidification.noaa.gov,,TRUE
oceanexplorer.noaa.gov,,TRUE
oceannoise.noaa.gov,,TRUE
oceanservice.noaa.gov,,TRUE
oceantoday.noaa.gov,,TRUE
oceanview.pfeg.noaa.gov,,TRUE
oceanwatch.pifsc.noaa.gov,,TRUE
oculus.atdd.noaa.gov,,TRUE
oeab.noaa.gov,,TRUE
oedwebdbapps.iso.noaa.gov,,TRUE
olympiccoast.noaa.gov,,TRUE
om.cmdl.noaa.gov,,TRUE
omao.noaa.gov,,TRUE
opendap.co-ops.nos.noaa.gov,,TRUE
orta.research.noaa.gov,,TRUE
osm.woc.noaa.gov,,TRUE
osmc.noaa.gov,,TRUE
ospo.noaa.gov,,TRUE
oss.research.noaa.gov,,TRUE
papahanaumokuakea.gov,,TRUE
passiveacoustics.fisheries.noaa.gov,,TRUE
phi.nssl.noaa.gov,,TRUE
pidvms.irc.noaa.gov,,TRUE
pier.seagrant.noaa.gov,,TRUE
pmel.noaa.gov,,TRUE
polar.ncep.noaa.gov,,TRUE
polarwatch.noaa.gov,,TRUE
portal.diver.orr.noaa.gov,,TRUE
products.coastalscience.noaa.gov,,TRUE
psl.noaa.gov,,TRUE
pss.swpc.noaa.gov,,TRUE
publications.gsl.noaa.gov,,TRUE
qosap.research.noaa.gov,,TRUE
ra4-gifs.weather.gov,,TRUE
radar.weather.gov,,TRUE
radar2pub.ncep.noaa.gov,,TRUE
radar3pub.ncep.noaa.gov,,TRUE
rapidrefresh.noaa.gov,,TRUE
ready.noaa.gov,,TRUE
repository.library.noaa.gov,,TRUE
research.noaa.gov,,TRUE
response.restoration.noaa.gov,,TRUE
responselink.orr.noaa.gov,,TRUE
restoreactscienceprogram.noaa.gov,,TRUE
roc.noaa.gov,,TRUE
sab.noaa.gov,,TRUE
sanctuaries.noaa.gov,,TRUE
sarsat.noaa.gov,,TRUE
satable.ncep.noaa.gov,,TRUE
satepsanone.nesdis.noaa.gov,,TRUE
sciencecouncil.noaa.gov,,TRUE
scsshore.noaa.gov,,TRUE
sdr.gov,,TRUE
seafoodinspection.nmfs.noaa.gov,,TRUE
seagrant.noaa.gov,,TRUE
secatchshares.fisheries.noaa.gov,,TRUE
shield.gfdl.noaa.gov,,TRUE
shoreline.noaa.gov,,TRUE
sift.pmel.noaa.gov,,TRUE
sites.gsl.noaa.gov,,TRUE
slosh.nws.noaa.gov,,TRUE
sord.nv.doe.gov,,TRUE
sos.noaa.gov,,TRUE
space.commerce.gov,,TRUE
spaceweather.gov,,TRUE
spc.noaa.gov,,TRUE
spo.nmfs.noaa.gov,,TRUE
spot.weather.gov,,TRUE
ssd.noaa.gov,,TRUE
star.nesdis.noaa.gov,,TRUE
stateoftheocean.osmc.noaa.gov,,TRUE
stellwagen.noaa.gov,,TRUE
storm.aoml.noaa.gov,,TRUE
storms.ngs.noaa.gov,,TRUE
stormscdn.ngs.noaa.gov,,TRUE
swfsc-publications.fisheries.noaa.gov,,TRUE
sworm.gov,,TRUE
swpc.noaa.gov,,TRUE
tao.ndbc.noaa.gov,,TRUE
tap.orr.noaa.gov,,TRUE
techpartnerships.noaa.gov,,TRUE
testbed.aviationweather.gov,,TRUE
testbeds.noaa.gov,,TRUE
thunderbay.noaa.gov,,TRUE
tidesandcurrents.noaa.gov,,TRUE
token.gfdl.noaa.gov,,TRUE
toolkit.climate.gov,,TRUE
training.weather.gov,,TRUE
tsunami.coast.noaa.gov,,TRUE
tsunami.gov,,TRUE
tsunami.noaa.gov,,TRUE
tsunami-cp.ncep.noaa.gov,,TRUE
usicecenter.gov,,TRUE
vdatum.noaa.gov,,TRUE
videos.fisheries.noaa.gov,,TRUE
viewer.weather.noaa.gov,,TRUE
viz.pmel.noaa.gov,,TRUE
vlab.noaa.gov,,TRUE
vms.nmfs.noaa.gov,,TRUE
voices.nmfs.noaa.gov,,TRUE
vos.noaa.gov,,TRUE
water.noaa.gov,,TRUE
weather.gov,,TRUE
webapps.nwfsc.noaa.gov,,TRUE
webeast.ngs.noaa.gov,,TRUE
webform.pier.seagrant.noaa.gov,,TRUE
wof.nssl.noaa.gov,,TRUE
wpc.ncep.noaa.gov,,TRUE
wpo.noaa.gov,,TRUE
broadbandusa.ntia.gov,,TRUE
cscrip.ntia.gov,,TRUE
grants.ntia.gov,,TRUE
its.ntia.gov,,TRUE
ntia.gov,,TRUE
www2.ntia.gov,,TRUE
dblease.ntis.gov,,TRUE
dmf.ntis.gov,,TRUE
dmfcert.ntis.gov,,TRUE
ladmf.ntis.gov,,TRUE
ntis.gov,,TRUE
ntrl.ntis.gov,,TRUE
ptoft.ntis.gov,,TRUE
srs.ntis.gov,,TRUE
2001-2009.commerce.gov,,TRUE
2010-2014.commerce.gov,,TRUE
2014-2017.commerce.gov,,TRUE
2017-2021.commerce.gov,,TRUE
cldp.doc.gov,,TRUE
commerce.gov,,TRUE
data.commerce.gov,,TRUE
mbda.data.commerce.gov,,TRUE
oig.doc.gov,,TRUE
socmed.commerce.gov,,TRUE
assignment.uspto.gov,,TRUE
certifiedcopycenter.uspto.gov,,TRUE
developer.uspto.gov,,TRUE
eog-tmng.uspto.gov,,TRUE
estta.uspto.gov,,TRUE
fees.uspto.gov,,TRUE
globaldossier.uspto.gov,,TRUE
idm-tmng.uspto.gov,,TRUE
ipidentifier.uspto.gov,,TRUE
mpep.uspto.gov,,TRUE
my.uspto.gov,,TRUE
oedci.uspto.gov,,TRUE
patentcenter.uspto.gov,,TRUE
ppubs.uspto.gov,,TRUE
seqdata.uspto.gov,,TRUE
tbmp.uspto.gov,,TRUE
tfsr.uspto.gov,,TRUE
tmdesigncodes.uspto.gov,,TRUE
tmep.uspto.gov,,TRUE
tmsearch.uspto.gov,,TRUE
trademarkcenter.uspto.gov,,TRUE
tsdr.uspto.gov,,TRUE
ttabvue.uspto.gov,,TRUE
uspto.gov,,TRUE
www-search.uspto.gov,,TRUE
dhs.gov,Office of Public Affairs,TRUE
cisa.gov,Office of External Affairs,TRUE
fema.gov,Office of External Affairs,TRUE
fletc.gov,Office of Public Affairs,TRUE
tsa.gov,Strategic Communications and Public Affairs,TRUE
uscis.gov,Office of Access and Information Services,TRUE
uscg.mil,Office of Public Affairs,TRUE
cbp.gov,Office of Public Affairs,TRUE
ice.gov,Office of Public Affairs,TRUE
secretservice.gov,Communication and Media Relations,TRUE
get.gov,,TRUE
niccs.cisa.gov,,TRUE
schoolsafety.gov,,TRUE
apps.usfa.fema.gov,U.S. Fire Administration,TRUE
disasterassistance.gov,,TRUE
floodsmart.gov,National Flood Insurance Program,TRUE
hazards.fema.gov,,TRUE
msc.fema.gov,,TRUE
ready.gov,Office of External Affairs,TRUE
training.fema.gov,,TRUE
usfa.fema.gov,U.S. Fire Administration,TRUE
fleta.gov,Office of Public Affairs,TRUE
ohss.dhs.gov,Office of Homeland Security Statistics,TRUE
oig.dhs.gov,Office of Public Affairs,TRUE
tsaenrollmentbyidemia.tsa.dhs.gov,,TRUE
egov.uscis.gov,Office of Access and Information Services,TRUE
e-verify.gov,Immigration Records and Identity Services,TRUE
my.uscis.gov,Office of Access and Information Services,TRUE
myeverify.uscis.gov,Immigration Records and Identity Services,TRUE
bwt.cbp.gov,Office of Field Operations,TRUE
careers.cbp.gov,Office of Human Resources Management,TRUE
dtops.cbp.dhs.gov,Office of Field Operations,TRUE
esta.cbp.dhs.gov,Office of Field Operations,TRUE
evus.gov,Office of Field Operations,TRUE
help.cbp.gov,Office of Public Affairs,TRUE
i94.cbp.dhs.gov,Office of Field Operations,TRUE
rulings.cbp.gov,Office of Field Operations,TRUE
ttp.dhs.gov,Office of International Affairs,TRUE
portal.ice.gov,,TRUE
studyinthestates.dhs.gov,,TRUE
tripwire.dhs.gov,,TRUE
zerotrust.cyber.gov,,TRUE
agents.floodsmart.gov,National Flood Insurance Program,TRUE
cdp.dhs.gov,,TRUE
firstrespondertraining.gov,,TRUE
floodmaps.fema.gov,National Flood Insurance Program,TRUE
go.fema.gov,,TRUE
nfipdirect.fema.gov,National Flood Insurance Program,TRUE
preptoolkit.fema.gov,,TRUE
apfs-cloud.dhs.gov,Office of the Chief Procurement Officer,TRUE
go.dhs.gov,Office of Public Affairs,TRUE
juntos.gov,Office of the Chief Informaton Officer,TRUE
myoido.dhs.gov,Office of the Immigration Detention Ombudsman,TRUE
niem.gov,Science and Technology Directorate,TRUE
release.niem.gov,Science and Technology Directorate,TRUE
together.gov,Office of the Chief Informaton Officer,TRUE
tools.niem.gov,Science and Technology Directorate,TRUE
hotline.oig.dhs.gov,Office of Public Affairs,TRUE
safetyact.gov,Office of Innovation and Collaboration,TRUE
exis.tsa.dhs.gov,,TRUE
trip.dhs.gov,,TRUE
immvets.dhs.gov,Office of Access and Information Services,TRUE
save.uscis.gov,Immigration Records and Identity Services,TRUE
developer.nvmc.uscg.gov,,TRUE
dhssans.nvmc.uscg.gov,,TRUE
enoad.nvmc.uscg.gov,,TRUE
navcen.uscg.gov,,TRUE
awt.cbp.gov,Office of Field Operations,TRUE
e.cbp.dhs.gov,Office of Finance,TRUE
eallegations.cbp.gov,Office of Professional Responsibility,TRUE
erulings.cbp.gov,Office of Field Operations,TRUE
e-safe.cbp.dhs.gov,Office of Field Operations,TRUE
fincen105.cbp.dhs.gov,Office of Field Operations,TRUE
iprr.cbp.gov,Office of Trade,TRUE
iprs.cbp.gov,Office of Trade,TRUE
rsp.cbp.gov,Office of Field Operations,TRUE
eserviceregistration.ice.gov,,TRUE
join.ice.gov,,TRUE
locator.ice.gov,,TRUE
vinelink.dhs.gov,,TRUE
hud.gov,,TRUE
hudhomestore.gov,,TRUE
huduser.gov,,TRUE
answers.hud.gov,,TRUE
hudoig.gov,,TRUE
ginniemae.gov,,TRUE
resources.hud.gov,,TRUE
my.ginniemae.gov,,TRUE
archives.huduser.gov,,TRUE
archives.hud.gov,,TRUE
cpd2.hud.gov,,TRUE
data.hud.gov,,TRUE
entp.hud.gov,,TRUE
okta.hud.gov,,TRUE
drgr.hud.gov,,TRUE
hudapps.hud.gov,,TRUE
idis.hud.gov,,TRUE
esnaps.hud.gov,,TRUE
portalapps.hud.gov,,TRUE
heros.hud.gov,,TRUE
apps.hud.gov,,TRUE
egis.hud.gov,,TRUE
hudapps2.hud.gov,,TRUE
hudhousingcounselors.hud.gov,,TRUE
access.ginniemae.gov,,TRUE