target_url,source_list_senate_117th
ag.senate.gov,TRUE
aging.senate.gov,TRUE
agriculture.senate.gov,TRUE
appropriations.senate.gov,TRUE
armed-services.senate.gov,TRUE
baldwin.senate.gov,TRUE
banking.senate.gov,TRUE
barrasso.senate.gov,TRUE
bennet.senate.gov,TRUE
blackburn.senate.gov,TRUE
blumenthal.senate.gov,TRUE
blunt.senate.gov,TRUE
booker.senate.gov,TRUE
boozman.senate.gov,TRUE
braun.senate.gov,TRUE
brown.senate.gov,TRUE
budget.senate.gov,TRUE
burr.senate.gov,TRUE
cantwell.senate.gov,TRUE
capito.senate.gov,TRUE
cardin.senate.gov,TRUE
carper.senate.gov,TRUE
casey.senate.gov,TRUE
cassidy.senate.gov,TRUE
coc.senate.gov,TRUE
collins.senate.gov,TRUE
commerce.senate.gov,TRUE
coons.senate.gov,TRUE
cornyn.senate.gov,TRUE
cortezmasto.senate.gov,TRUE
cotton.senate.gov,TRUE
cramer.senate.gov,TRUE
crapo.senate.gov,TRUE
cruz.senate.gov,TRUE
dailypress.senate.gov,TRUE
daines.senate.gov,TRUE
democraticleader.senate.gov,TRUE
democrats.senate.gov,TRUE
disclosure.senate.gov,TRUE
dpc.senate.gov,TRUE
dpcc.senate.gov,TRUE
drugcaucus.senate.gov,TRUE
dsoc.senate.gov,TRUE
duckworth.senate.gov,TRUE
durbin.senate.gov,TRUE
energy.senate.gov,TRUE
epw.senate.gov,TRUE
ernst.senate.gov,TRUE
ethics.senate.gov,TRUE
feinstein.senate.gov,TRUE
finance.senate.gov,TRUE
fischer.senate.gov,TRUE
foreign.senate.gov,TRUE
gillibrand.senate.gov,TRUE
grassley.senate.gov,TRUE
hagerty.senate.gov,TRUE
hassan.senate.gov,TRUE
hawley.senate.gov,TRUE
heinrich.senate.gov,TRUE
help.senate.gov,TRUE
hickenlooper.senate.gov,TRUE
hirono.senate.gov,TRUE
hoeven.senate.gov,TRUE
hsgac.senate.gov,TRUE
hydesmith.senate.gov,TRUE
inaugural.senate.gov,TRUE
indian.senate.gov,TRUE
inhofe.senate.gov,TRUE
intelligence.senate.gov,TRUE
jct.gov,TRUE
jec.senate.gov,TRUE
judiciary.senate.gov,TRUE
kaine.senate.gov,TRUE
kelly.senate.gov,TRUE
kennedy.senate.gov,TRUE
king.senate.gov,TRUE
klobuchar.senate.gov,TRUE
lankford.senate.gov,TRUE
leahy.senate.gov,TRUE
lee.senate.gov,TRUE
lgraham.senate.gov,TRUE
lujan.senate.gov,TRUE
lummis.senate.gov,TRUE
manchin.senate.gov,TRUE
markey.senate.gov,TRUE
marshall.senate.gov,TRUE
mcconnell.senate.gov,TRUE
menendez.senate.gov,TRUE
merkley.senate.gov,TRUE
moran.senate.gov,TRUE
murkowski.senate.gov,TRUE
murphy.senate.gov,TRUE
murray.senate.gov,TRUE
ossoff.senate.gov,TRUE
padilla.senate.gov,TRUE
paul.senate.gov,TRUE
periodicalpress.senate.gov,TRUE
peters.senate.gov,TRUE
portman.senate.gov,TRUE
pressphotographers.senate.gov,TRUE
radiotv.senate.gov,TRUE
reed.senate.gov,TRUE
republican.senate.gov,TRUE
republicanleader.senate.gov,TRUE
republicans.senate.gov,TRUE
rickscott.senate.gov,TRUE
risch.senate.gov,TRUE
romney.senate.gov,TRUE
ronjohnson.senate.gov,TRUE
rosen.senate.gov,TRUE
rounds.senate.gov,TRUE
rpc.senate.gov,TRUE
rubio.senate.gov,TRUE
rules.senate.gov,TRUE
sanders.senate.gov,TRUE
sasse.senate.gov,TRUE
sbc.senate.gov,TRUE
sblsc1977.com,TRUE
schatz.senate.gov,TRUE
schumer.senate.gov,TRUE
scott.senate.gov,TRUE
senate.gov,TRUE
shaheen.senate.gov,TRUE
shelby.senate.gov,TRUE
sinema.senate.gov,TRUE
slc.senate.gov,TRUE
smith.senate.gov,TRUE
src.senate.gov,TRUE
stabenow.senate.gov,TRUE
sullivan.senate.gov,TRUE
tester.senate.gov,TRUE
thune.senate.gov,TRUE
tillis.senate.gov,TRUE
toomey.senate.gov,TRUE
tuberville.senate.gov,TRUE
vanhollen.senate.gov,TRUE
veterans.senate.gov,TRUE
warner.senate.gov,TRUE
warnock.senate.gov,TRUE
warren.senate.gov,TRUE
whitehouse.senate.gov,TRUE
wicker.senate.gov,TRUE
wyden.senate.gov,TRUE
young.senate.gov,TRUE