,target_url
259,cms.gov
1035,telework.gov
1120,access-board.gov
1142,mail.gov
89,autodiscover.abilityone.gov
98,webmail.abmc.gov
101,sts.access-board.gov
175,autodiscover.acus.gov
198,mail.adlnet.gov
233,autodiscover.ahcpr.gov
244,autodiscover.ahrq.gov
258,dev.ahrq.gov
299,prod.ahrq.gov
325,autodiscover.aids.gov
351,dev.america.gov
354,edit.america.gov
355,edit.staging.america.gov
376,staging.america.gov
377,static.america.gov
413,mail.amtrakoig.gov
415,origin.www.anchorit.gov
424,access.anl.gov
450,autodiscover.anl.gov
625,mail.anl.gov
761,sharepoint.anl.gov
780,svn.alcf.anl.gov
781,svn.aps.anl.gov
782,svn.mcs.anl.gov
826,vpn.anl.gov
850,www1.anl.gov
852,www2.aps.anl.gov
863,autodiscover.aoa.gov
895,dev.research.archives.gov
943,uat.research.archives.gov
949,adfs.arm.gov
959,dev.arm.gov
988,sso.arm.gov
991,vpn.arm.gov
1010,dev.arts.gov
1012,stg.arts.gov
1013,vpn.arts.gov
1020,qa.asap.gov
1029,edit.atf.gov
1062,www2.banknet.gov
1065,testing.bats.gov
1078,vpn.bbg.gov
1085,dev.bea.gov
1089,lyncdiscover.bea.gov
1093,remote.bea.gov
1095,secure.bea.gov
1097,stage.bea.gov
1098,sts.bea.gov
1114,test.bfem.gov
1118,autodiscover.bioethics.gov
1150,edit.blm.gov
1176,test.blm.gov
1194,download.bls.gov
1222,autodiscover.bnl.gov
1259,dev.racf.bnl.gov
1337,sts.bnl.gov
1346,webmail.rhic.bnl.gov
1348,www0.bnl.gov
1361,www2.fed.bop.gov
1364,access.bpa.gov
1365,access.test.bpa.gov
1369,connect.bpa.gov
1370,connect.test.bpa.gov
1388,test.bpa.gov
1407,cms.bts.gov
1573,intranet.dceg.cancer.gov
1703,staging.seer.cancer.gov
1707,static.cancer.gov
1742,www1.cancer.gov
1841,mail.ctwg.cap.gov
1842,mail.mer.cap.gov
1843,mail.nesa.cap.gov
1926,test.ner.cap.gov
1927,test.txwg.cap.gov
1941,webmail.natcapwg.cap.gov
1942,webmail.nvwg.cap.gov
1974,edit.cbp.gov
1975,edit.staging.cbp.gov
1976,edit.testint.cbp.gov
1990,preview.cbp.gov
1993,staging.cbp.gov
1998,access-ipsas-piv.cdc.gov
1999,access-ipsas.cdc.gov
2000,access-piv.cdc.gov
2001,access.cdc.gov
2006,adobeconnect.cdc.gov
2022,autodiscover.cdc.gov
2055,dev.eipp.cdc.gov
2112,lyncdiscover.cdc.gov
2140,origin.cdc.gov
2141,origin.glb.cdc.gov
2142,origin.int-f5.cdc.gov
2194,sso.cdc.gov
2196,stage.eipp.cdc.gov
2197,stage.fsap.cdc.gov
2198,stage.npcrcss.cdc.gov
2201,static.prototype.cdc.gov
2214,uat.eipp.cdc.gov
2235,webapp.cdc.gov
2244,www2.cdc.gov
2262,access.vdiv.census.gov
2263,adfs.tco.census.gov
2264,adfs.ti.census.gov
2281,email.census.gov
2315,origin.www2.census.gov
2317,piv.vdid.census.gov
2331,secure.census.gov
2347,vdi.census.gov
2351,www2.census.gov
2370,extranet.cfpb.gov
2380,remote.cfpb.gov
2388,remote.cftc.gov
2407,autodiscover.cigie.gov
2430,staging.pulse.cio.gov
2437,edit.cisa.gov
2629,assets.cms.gov
2630,assets.dev.cms.gov
2631,assets.imp.cms.gov
2632,assets.test.cms.gov
2673,dev.bluebutton.cms.gov
2674,dev.edit.cms.gov
2675,dev.hub.cms.gov
2688,download.cms.gov
2694,edit.cms.gov
2695,edit.innovation.cms.gov
2696,edit.marketplace.cms.gov
2829,preview.qpp.cms.gov
2831,qa.assets.cms.gov
2854,sso.cms.gov
2855,stage.data.cms.gov
2856,staging.assets.cms.gov
2858,stg.cert.cms.gov
2859,stg.mccm.cms.gov
2861,sts.cms.gov
2862,test.bluebutton.cms.gov
2863,test.cms.gov
2864,test.developer.cms.gov
2865,test.hub.cms.gov
2869,vdi.cms.gov
2882,autodiscover.cncsoig.gov
2885,autodiscover.cns.gov
2889,owa.cns.gov
2891,sts.cns.gov
2892,vpn.cns.gov
2899,staging.code.gov
2923,dev.acetool.d.commerce.gov
2924,dev.auth.d.commerce.gov
2925,dev.citrb.d.commerce.gov
2926,dev.mbda.d.commerce.gov
2927,dev.medweek.d.commerce.gov
2928,dev.socmed.d.commerce.gov
2935,edit.commerce.gov
2936,edit.ogc.commerce.gov
2953,qa.acetool.d.commerce.gov
2954,qa.auth.d.commerce.gov
2955,qa.citrb.d.commerce.gov
2956,qa.mbda.d.commerce.gov
2957,qa.medweek.d.commerce.gov
2958,qa.socmed.d.commerce.gov
2965,vpn.camsic.commerce.gov
2969,connect.gov
2971,edit.consumer.gov
3018,access.cpsc.gov
3022,autodiscover.cpsc.gov
3035,mdm.cpsc.gov
3039,origin.prod.cpsc.gov
3040,vdi.cpsc.gov
3043,admin.crimesolutions.gov
3054,mail.csb.gov
3056,sharepoint.csb.gov
3058,access.csosa.gov
3070,mail.ctoc.gov
3081,vpn.cttso.gov
3082,webmail.cttso.gov
3095,dev.cuidadodesalud.gov
3102,test.cuidadodesalud.gov
3179,stage.api.data.gov
3187,admin.dea.gov
3265,static.defense.gov
3277,autodiscover.acf.dhhs.gov
3278,autodiscover.dhhs.gov
3279,autodiscover.email.foh.dhhs.gov
3280,autodiscover.os.dhhs.gov
3281,autodiscover.osophs.dhhs.gov
3296,adfs.ice.dhs.gov
3312,autodiscover.associates.cbp.dhs.gov
3313,autodiscover.cbp.dhs.gov
3314,autodiscover.dr.fema.dhs.gov
3315,autodiscover.fema.dhs.gov
3316,autodiscover.foreignnational.cbp.dhs.gov
3317,autodiscover.foreignnationals.cbp.dhs.gov
3318,autodiscover.military.cbp.dhs.gov
3319,autodiscover.othergovagency.cbp.dhs.gov
3320,autodiscover.st.dhs.gov
3362,dev.casm.dhs.gov
3363,dev.dcats.dhs.gov
3364,dev.dtect.dhs.gov
3397,edit.dhs.gov
3398,edit.preview-oig.dhs.gov
3399,edit.preview-studyinthestates.dhs.gov
3400,edit.staging1.dhs.gov
3402,email.tsa.dhs.gov
3414,extranet.tsa.dhs.gov
3488,mdm.dhs.gov
3489,mdm.fema.dhs.gov
3530,preview.dhs.gov
3531,preview.dhsprecheck.dhs.gov
3535,remote.dhs.gov
3581,sso.dhs.gov
3582,sso.tsa.dhs.gov
3587,staging.cisomb.dhs.gov
3590,sts.uscis.dhs.gov
3646,demo.accessibility.digital.gov
3647,demo.digital.gov
3648,demo.pra.digital.gov
3658,uat.digitaldashboard.gov
3659,connect.digitalgov.gov
3661,demo.digitalgov.gov
3672,edit.disasterassistance.gov
3673,edit.staging.disasterassistance.gov
3674,edit.testint.disasterassistance.gov
3675,preview.disasterassistance.gov
3676,staging.disasterassistance.gov
3689,autodiscover.bis.doc.gov
3690,autodiscover.doc.gov
3714,mail.oig.doc.gov
3731,ssl.ntia.doc.gov
3732,sslvpn.doc.gov
3735,sts.doc.gov
3738,test.ws.freqcoord.ntia.doc.gov
3742,webmail.ntia.doc.gov
3743,www2.ntia.doc.gov
3757,access.doe.gov
3758,access.nv.doe.gov
3773,autodiscover.doe.gov
3774,autodiscover.ee.doe.gov
3775,autodiscover.eh.doe.gov
3776,autodiscover.em.doe.gov
3777,autodiscover.gjemtac.doe.gov
3778,autodiscover.hq.doe.gov
3779,autodiscover.jc3.doe.gov
3780,autodiscover.nnsa.doe.gov
3781,autodiscover.nr.doe.gov
3782,autodiscover.nrp.doe.gov
3783,autodiscover.oak.doe.gov
3805,connect.doe.gov
3806,connect.nv.doe.gov
3887,mail.gjemtac.doe.gov
3938,remote.emcbc.doe.gov
3961,sso.lex.doe.gov
3965,sts.sepa.doe.gov
3979,vpn.em-la.doe.gov
3980,vpn.oem.doe.gov
3981,vpn.y12.doe.gov
3986,www2.spr.doe.gov
3991,autodiscover.doeal.gov
3994,access.doi.gov
4004,edit.doi.gov
4040,secure.doi.gov
4045,staging.doi.gov
4049,vpn.doi.gov
4055,meet.jcs.doj.gov
4092,edit.blog.dol.gov
4093,edit.dol.gov
4132,sso.dol.gov
4135,staging.blog.dol.gov
4136,staging.dol.gov
4140,sts.oig.dol.gov
4172,test.doleta.gov
4196,access.dot.gov
4197,adfs.dot.gov
4220,cms.bts.dot.gov
4221,cms.marad.dot.gov
4222,cms.secure.dot.gov
4231,collaboration.fhwa.dot.gov
4240,demo.eebacs.fhwa.dot.gov
4241,dialin.dot.gov
4351,meet.dot.gov
4419,secure.dot.gov
4429,stage.fra.dot.gov
4430,staging.learn.dot.gov
4452,vdi.dot.gov
4470,www1.oig.dot.gov
4476,www2.dotgov.gov
4488,demo.drugabuse.gov
4506,dev.e-enterprise.gov
4508,test.e-enterprise.gov
4512,edit.e-verify.gov
4513,preview.e-verify.gov
4515,staging.e-verify.gov
4569,sts.ecr.gov
4579,autodiscover.ed.gov
4599,dev.mysa.ed.gov
4616,email.ed.gov
4726,sts.ed.gov
4735,test.msix.ed.gov
4736,test.mysa.ed.gov
4737,test.nationalblueribbonschools.ed.gov
4766,uat.dmcseddebt.ed.gov
4767,uat.myeddebt.ed.gov
4768,uat.mysa.ed.gov
4772,vpn.ies.ed.gov
4778,www2.ed.gov
4795,stage.oig.eeoc.gov
4796,sts.eeoc.gov
4799,www1.eeoc.gov
4804,download.eftps.gov
4823,autodiscover.eia.gov
4834,www1.eia.gov
4842,admin.employeeexpress.gov
4843,admin.test.employeeexpress.gov
4844,admin.uat.employeeexpress.gov
4848,test.employeeexpress.gov
4849,uat.employeeexpress.gov
4873,autodiscover.energy.gov
4874,autodiscover.nuclear.energy.gov
4970,qa.medicalsciences.energy.gov
4975,remote.id.energy.gov
4996,test.a2e.energy.gov
5002,vpn.ettp.energy.gov
5003,vpn.science.energy.gov
5010,www1.eere.energy.gov
5011,www2.eere.energy.gov
5272,test.epa.gov
5287,webmail.epa.gov
5293,www2.epa.gov
5296,dev.epic.gov
5304,remote.esc.gov
5347,adfs.faa.gov
5435,extranet.asias.faa.gov
5517,piv.faa.gov
5574,vpn.faa.gov
5582,webmail.faa.gov
5605,mail.fan.gov
5616,autodiscover.fatherhood.gov
5697,static.fbi.gov
5707,www2.fbi.gov
5712,smtp.fbo.gov
5714,autodiscover.fca.gov
5726,webmail.fca.gov
5752,autodiscover.fcc.gov
5798,www2.fcc.gov
5804,access.fda.gov
5805,access.preprod.fda.gov
5818,collaboration.fda.gov
5826,download.open.fda.gov
5883,remote.fda.gov
5886,test.datadashboard.fda.gov
5916,citrix.fdic.gov
5960,dev.fdicoig.gov
5994,dev.fec.gov
6005,stage.fec.gov
6006,sts.fec.gov
6036,demo.fedramp.gov
6068,edit.fema.gov
6069,edit.staging.fema.gov
6070,edit.testint.fema.gov
6106,mdm.fema.gov
6119,piv.fedhr.fema.gov
6120,piv.fema.gov
6128,preview.fema.gov
6137,sso.preptoolkit.fema.gov
6138,stage.nfipdirect.fema.gov
6141,staging.fema.gov
6143,tdl.acedroid.fema.gov
6144,tdl.apps.fema.gov
6145,tdl.ba.fema.gov
6146,tdl.egateway.fema.gov
6147,tdl.eservices.fema.gov
6148,tdl.forms.fema.gov
6149,tdl.gis.fema.gov
6150,tdl.integration.fema.gov
6151,tdl.isource.fema.gov
6152,tdl.lscms-lg.fema.gov
6153,tdl.lscms-sci.fema.gov
6154,tdl.lscms-wm.fema.gov
6155,tdl.lscms.fema.gov
6156,tdl.nfirs.fema.gov
6157,tdl.piv.fema.gov
6158,tdl.pive.fema.gov
6159,tdl.regportal.fema.gov
6160,test.msc.fema.gov
6169,autodiscover.ferc.gov
6172,citrix.ferc.gov
6173,cms.ferc.gov
6175,connect.ferc.gov
6191,ssl.ferc.gov
6192,staging.ferc.gov
6202,test.cdr.ffiec.gov
6209,access-cc.fhfa.gov
6210,access-colo.fhfa.gov
6212,citrix.fhfa.gov
6213,connect.fhfa.gov
6221,lyncdiscover.fhfa.gov
6222,meet.fhfa.gov
6233,test.fhfaoig.gov
6252,autodiscover.firstnet.gov
6267,edit.fleta.gov
6268,edit.staging.fleta.gov
6269,edit.testint.fleta.gov
6271,preview.fleta.gov
6272,staging.fleta.gov
6275,edit.fletc.gov
6276,edit.staging.fletc.gov
6277,edit.testint.fletc.gov
6283,preview.fletc.gov
6285,staging.fletc.gov
6293,autodiscover.flra.gov
6294,autodiscover.internal.flra.gov
6298,qa.efile.flra.gov
6299,stg.efile.flra.gov
6303,adfs.fmc.gov
6307,vpn.fmc.gov
6308,www2.fmc.gov
6311,lyncdiscover.fmcs.gov
6312,mail.fmcs.gov
6318,autodiscover.fmshrc.gov
6323,mail.fmshrc.gov
6335,assets.ghe-pip2.fnal.gov
6337,autodiscover.fnal.gov
6359,cms.fnal.gov
6388,email.fnal.gov
6460,mail.fnal.gov
6524,sharepoint.fnal.gov
6558,vpn.fnal.gov
6625,admin.foia.gov
6644,origin.foodsafety.gov
6667,email.fpisc.gov
6723,www1.fpl.fs.fed.us
6734,edit.bulkorder.ftc.gov
6735,edit.consumer.ftc.gov
6736,edit.ftc.gov
6973,intranet.fws.gov
7281,cms.geoplatform.gov
7291,access.dev.ginniemae.gov
7292,access.ginniemae.gov
7293,access.sit.ginniemae.gov
7303,cms.ginniemae.gov
7322,test.ginniemae.gov
7328,admin.globalchange.gov
7344,dev.globalhealth.gov
7353,staging.globe.gov
7374,autodiscover.grants.gov
7382,staging.grants.gov
7385,test.grants.gov
7409,demo.grantsolutions.gov
7410,demo.program.grantsolutions.gov
7460,stage.grantsolutions.gov
7463,svn.grantsolutions.gov
7465,test.grantsolutions.gov
7472,vpn.grantsolutions.gov
7520,connect.gsa.gov
7531,demo.10x.gsa.gov
7532,demo.cic.gsa.gov
7541,email.gsa.gov
7631,meet.gsa.gov
7668,preview.gsa.gov
7703,staging.d2d.gsa.gov
7710,test.anywhere.gsa.gov
7736,vpn.gsa.gov
7756,vpn.gsaig.gov
7762,cms.hanford.gov
7783,dev.health.gov
7791,assets.dev.healthcare.gov
7792,assets.healthcare.gov
7793,assets.imp.healthcare.gov
7794,assets.test.healthcare.gov
7809,dev.address.api.healthcare.gov
7810,dev.geo.api.healthcare.gov
7811,dev.healthcare.gov
7812,dev.marketplace-int.api.healthcare.gov
7813,dev.marketplace.api.healthcare.gov
7869,test.aca.api.healthcare.gov
7870,test.address.api.healthcare.gov
7871,test.geo.api.healthcare.gov
7872,test.healthcare.gov
7873,test.marketplace-int.api.healthcare.gov
7874,test.marketplace.api.healthcare.gov
7875,test.mcr.api.healthcare.gov
7906,vpn.aws.healthcare.gov
7909,dev.healthfinder.gov
7966,dev.healthypeople.gov
7971,www2.helpwithmybank.gov
7978,mail.heritageabroad.gov
7988,adfs.ams.hhs.gov
8023,autodiscover.acf.hhs.gov
8024,autodiscover.acl.hhs.gov
8025,autodiscover.ahrq.hhs.gov
8026,autodiscover.aoa.hhs.gov
8027,autodiscover.cms.hhs.gov
8028,autodiscover.ees.hhs.gov
8029,autodiscover.fda.hhs.gov
8030,autodiscover.foh.hhs.gov
8031,autodiscover.hcfa.hhs.gov
8032,autodiscover.hhs.gov
8033,autodiscover.os.hhs.gov
8034,autodiscover.psc.hhs.gov
8035,autodiscover.samhsa.hhs.gov
8036,autodiscover.whcoa.hhs.gov
8056,cms.hhs.gov
8099,extranet.acf.hhs.gov
8145,intranet.hhs.gov
8155,lyncdiscover.cms.hhs.gov
8159,mail.508.hhs.gov
8202,owa.hhs.gov
8235,remote.cloud.hhs.gov
8236,remote.ito.hhs.gov
8251,secure.accelerate.hhs.gov
8252,secure.acf.hhs.gov
8253,secure.eclkc.ohs.acf.hhs.gov
8262,sso.acf.hhs.gov
8276,stage.adfs.ams.hhs.gov
8277,stage.adfsx.ams.hhs.gov
8278,stage.ams.hhs.gov
8279,stage.aspe.hhs.gov
8280,stage.occms.acf.hhs.gov
8281,staging.accelerate.hhs.gov
8282,staging.acf.hhs.gov
8283,staging.learning.hhs.gov
8304,sts.oig.hhs.gov
8316,test.accelerate.hhs.gov
8317,test.eclkc.ohs.acf.hhs.gov
8318,test.learning.hhs.gov
8341,vpn.cob.cms.hhs.gov
8342,vpn.oig.hhs.gov
8351,webmail.508.hhs.gov
8352,webmail.hhs.gov
8380,adfs.hrsa.gov
8387,autodiscover.hrsa.gov
8427,lyncdiscover.hrsa.gov
8446,qa.npdb.hrsa.gov
8458,vpn.hrsa.gov
8467,autodiscover.hud.gov
8528,sso.hud.gov
8529,sts.hud.gov
8543,autodiscover.hudoig.gov
8550,webmail.hudoig.gov
8573,vpn.iaf.gov
8581,test.feds.iawg.gov
8582,test.iawg.gov
8596,edit.ice.gov
8597,edit.staging.ice.gov
8598,edit.testint.ice.gov
8606,preview.ice.gov
8608,staging.ice.gov
8616,dev.identitysandbox.gov
8648,piv.idmanagement.gov
8653,adfs.ihs.gov
8654,autodiscover.ihs.gov
8672,lyncdiscover.ihs.gov
8673,mail.ihs.gov
8761,secure.inl.gov
8770,demo.innovation.gov
8779,stage.integrity.gov
8845,connect.irs.gov
8846,dev.edit.eitc.irs.gov
8847,dev.edit.irs.gov
8848,dev.edit.marketingexpress.irs.gov
8849,dev.edit.stayexempt.irs.gov
8850,dev.taxpayeradvocate.irs.gov
8910,prod.edit.eitc.irs.gov
8911,prod.edit.irs.gov
8912,prod.edit.marketingexpress.irs.gov
8913,prod.edit.stayexempt.irs.gov
8943,dev.irsvideos.gov
8947,preview.irsvideos.gov
8948,test.irsvideos.gov
8976,connect.itrd.gov
8981,qa.future.its.gov
8982,qa.its.gov
9068,mail.jobcorps.gov
9130,remote.jusfc.gov
9141,connect.justice.gov
9147,dev.justice.gov
9150,edit.justice.gov
9171,stg.justice.gov
9172,sts.eoir.justice.gov
9175,uat.grantsnet.justice.gov
9196,access.lanl.gov
9235,cms.lanl.gov
9259,dialin.lanl.gov
9385,lyncdiscover.lanl.gov
9396,meet.lanl.gov
9539,webmail.lanl.gov
9999,intranet.lbl.gov
10288,sts.lbl.gov
10401,www2.lbl.gov
10420,dev.lep.gov
10422,prod.lep.gov
10424,stg.lep.gov
10427,access.llnl.gov
10433,adfs.llnl.gov
10447,autodiscover.llnl.gov
10473,cdn.llnl.gov
10607,mdm.llnl.gov
10705,vpn.llnl.gov
10732,secure.login.gov
10733,staging.login.gov
10737,autodiscover.lsc.gov
10738,autodiscover.oig.lsc.gov
10745,remote.lsc.gov
10754,access.max.gov
10755,access.test.max.gov
10785,piv.devl.max.gov
10786,piv.max.gov
10801,stage.max.gov
10805,test.max.gov
10808,edit.mbda.gov
10812,adfs.mcc.gov
10813,assets.mcc.gov
10814,autodiscover.mcc.gov
10828,secure.mcc.gov
10833,vpn.mcc.gov
10834,webmail.mcc.gov
10835,webmail.mcctest.gov
10836,admin.medalofvalor.gov
10858,staging.medicaid.gov
10859,test.medicaid.gov
10862,staging.medicalcountermeasures.gov
10870,edit.medicare.gov
10884,test.medicare.gov
10888,connect.medlineplus.gov
10922,edit.militaryconsumer.gov
10929,citrix.mms.gov
10931,piv.citrix.mms.gov
10951,autodiscover.mspb.gov
10953,email.mspb.gov
10957,sts.mspb.gov
10966,sts.lab365.myfdic.gov
11010,staging.namus.gov
11011,uat.namus.gov
11018,email.nara.gov
11039,access.earthdata.nasa.gov
11040,access.sit.earthdata.nasa.gov
11041,access.uat.earthdata.nasa.gov
11246,autodiscover.jpl.nasa.gov
11247,autodiscover.nasa.gov
11248,autodiscover.russia.nasa.gov
11341,cdn.earthdata.nasa.gov
11342,cdn.sit.earthdata.nasa.gov
11343,cdn.uat.earthdata.nasa.gov
11403,cms.gsfc.nasa.gov
11425,collaboration.grc.nasa.gov
11434,connect.arc.nasa.gov
11435,connect.gdscc.nasa.gov
11436,connect.jpl.nasa.gov
11552,download.jpl.nasa.gov
12153,internal.nccs.nasa.gov
12154,intranet.nasa.gov
12381,lyncdiscover.at.nasa.gov
12382,lyncdiscover.nasa.gov
12868,piv.nasa.gov
12916,prod.nais.nasa.gov
12917,prod.urs.eosdis.nasa.gov
12942,qa.larc.nasa.gov
12970,remote.ivv.nasa.gov
12971,remote.jpl.nasa.gov
13395,test.ccs.esmo.nasa.gov
13457,uat.earthdata.nasa.gov
13458,uat.ems.eosdis.nasa.gov
13459,uat.gibs.earthdata.nasa.gov
13460,uat.gitc.earthdata.nasa.gov
13461,uat.urs.earthdata.nasa.gov
13521,vpn.hst.nasa.gov
13522,vpn.ivv.nasa.gov
13523,vpn.mdscc.nasa.gov
13547,webapp.grc.nasa.gov
13551,webmail.at.nasa.gov
13552,webmail.jpl.nasa.gov
13553,webmail.nasa.gov
13554,webmail.russia.nasa.gov
13618,www0.arc.nasa.gov
13619,www0.ndc.nasa.gov
13620,www1.grc.nasa.gov
13621,www2.jpl.nasa.gov
13678,autodiscover.ncd.gov
13681,vpn.ncd.gov
13797,autodiscover.ncpc.gov
13806,sts.ncpc.gov
13807,vpn.ncpc.gov
13811,autodiscover.ncua.gov
13816,dialin.ncua.gov
13824,lyncdiscover.ncua.gov
13825,mail.ncua.gov
13827,meet.ncua.gov
13852,remote.neh.gov
13896,autodiscover.nga.gov
13909,mail.nga.gov
13913,remote.nga.gov
13916,sts.nga.gov
13918,vpn.nga.gov
13942,static.nhtsa.gov
13958,edit.niem.gov
13960,preview.niem.gov
13964,staging.niem.gov
13979,autodiscover.nigc.gov
13981,remote.nigc.gov
13984,vpn.nigc.gov
14090,assets.nlm.nih.gov
14091,assets.wip.nlm.nih.gov
14105,autodiscover.31.nia.nih.gov
14106,autodiscover.31b4.nci.nih.gov
14107,autodiscover.amb.niddk.nih.gov
14108,autodiscover.arb.niams.nih.gov
14109,autodiscover.b10.nci.nih.gov
14110,autodiscover.bdg10.niddk.nih.gov
14111,autodiscover.bdg8.niddk.nih.gov
14112,autodiscover.box-w.nih.gov
14113,autodiscover.box-z.nih.gov
14114,autodiscover.brsc.od.nih.gov
14115,autodiscover.cc.nih.gov
14116,autodiscover.cc1.nichd.nih.gov
14117,autodiscover.cfb.dcrt.nih.gov
14118,autodiscover.cfr.nichd.nih.gov
14119,autodiscover.cit.nih.gov
14120,autodiscover.csr.nih.gov
14121,autodiscover.ctep.nci.nih.gov
14122,autodiscover.dc10a.nci.nih.gov
14123,autodiscover.dc37a.nci.nih.gov
14124,autodiscover.dce41.nci.nih.gov
14125,autodiscover.dcpcepn.nci.nih.gov
14126,autodiscover.dctod.nci.nih.gov
14127,autodiscover.de45.nidr.nih.gov
14128,autodiscover.dea.nci.nih.gov
14129,autodiscover.des13.od.nih.gov
14130,autodiscover.dicbr.niaaa.nih.gov
14131,autodiscover.dir.nidcr.nih.gov
14132,autodiscover.dir.nidr.nih.gov
14133,autodiscover.dir49.nichd.nih.gov
14134,autodiscover.dir6.nichd.nih.gov
14135,autodiscover.dtpepn.nci.nih.gov
14136,autodiscover.efdb.nci.nih.gov
14137,autodiscover.email.nidr.nih.gov
14138,autodiscover.ep.ncrr.nih.gov
14139,autodiscover.ep.niams.nih.gov
14140,autodiscover.epndce.nci.nih.gov
14141,autodiscover.exchange.nih.gov
14142,autodiscover.exmur.nia.nih.gov
14143,autodiscover.extra.niddk.nih.gov
14144,autodiscover.faes.od.nih.gov
14145,autodiscover.fic16.fic.nih.gov
14146,autodiscover.ficod.fic.nih.gov
14147,autodiscover.fmb.nci.nih.gov
14148,autodiscover.gandalf.cber.nih.gov
14149,autodiscover.grc.nia.nih.gov
14150,autodiscover.gw.nia.nih.gov
14151,autodiscover.helix.nih.gov
14152,autodiscover.icic.nci.nih.gov
14153,autodiscover.intra.nci.nih.gov
14154,autodiscover.intra.nida.nih.gov
14155,autodiscover.intra.niddk.nih.gov
14156,autodiscover.intra.nimh.nih.gov
14157,autodiscover.irp.niams.nih.gov
14158,autodiscover.irp.nimh.nih.gov
14159,autodiscover.irp30.nidr.nih.gov
14160,autodiscover.lce.nichd.nih.gov
14161,autodiscover.lcs.niaaa.nih.gov
14162,autodiscover.lsr.nei.nih.gov
14163,autodiscover.magic.dcrt.nih.gov
14164,autodiscover.mail.cc.nih.gov
14165,autodiscover.mail.nih.gov
14166,autodiscover.mail.nihdev.cit.nih.gov
14167,autodiscover.misb.nci.nih.gov
14168,autodiscover.ms.nidcd.nih.gov
14169,autodiscover.navmed.nci.nih.gov
14170,autodiscover.ncats.nih.gov
14171,autodiscover.nccam.nih.gov
14172,autodiscover.ncmhd.nih.gov
14173,autodiscover.nei.nih.gov
14174,autodiscover.nhgri.nih.gov
14175,autodiscover.nhlbi.nih.gov
14176,autodiscover.nia.nih.gov
14177,autodiscover.niaaa.nih.gov
14178,autodiscover.niaid.nih.gov
14179,autodiscover.nichd.nih.gov
14180,autodiscover.nida.nih.gov
14181,autodiscover.nidcd.nih.gov
14182,autodiscover.nidcr.nih.gov
14183,autodiscover.niddk.nih.gov
14184,autodiscover.nih.gov
14185,autodiscover.nihdev.cit.nih.gov
14186,autodiscover.nihrrlib.ncrr.nih.gov
14187,autodiscover.ninds.nih.gov
14188,autodiscover.occ.nci.nih.gov
14189,autodiscover.od-des.od.nih.gov
14190,autodiscover.od.nci.nih.gov
14191,autodiscover.od.niams.nih.gov
14192,autodiscover.od.nih.gov
14193,autodiscover.od12a.ncrr.nih.gov
14194,autodiscover.od1em1.od.nih.gov
14195,autodiscover.od1tm1.od.nih.gov
14196,autodiscover.od31.nidr.nih.gov
14197,autodiscover.od31.od.nih.gov
14198,autodiscover.od31em1.od.nih.gov
14199,autodiscover.od31tm1.od.nih.gov
14200,autodiscover.od6100m1.od.nih.gov
14201,autodiscover.odepsm1.od.nih.gov
